Title,Author,URL,Body
NEWLY DISCOVERED PLANETS SEEM TO BE UNHAPPY WE FOUND THEM,admin,https://www.satirewire.com/7-newly-discovered-exoplanets-seem-to-know-we-found-them/,"
 

LIEGE, BELGIUM (SatireWire.com) — In an astounding development, scientists today said the seven newly discovered exoplanets in a nearby constellation seem to be aware that we found them, and are not very happy about it.
At some point in the last few days, massive, etched symbols have appeared on the surfaces of the Earth-sized planets that, together, spell out: “Earth sux.”
Astronomer Michael Gillon of the STAR Institute in Belgium was among the first to see the symbols.
“We were excited by the initial discovery of the planets, but this morning, when my assistant told me actual letters had appeared, I was beyond excited,” Gillon said. “Until I saw them. Then I thought, ‘Oh. That’s not very nice.’”
Added MIT scientist Julien De Wit: “This is of course incredible news if you consider we now know there is life elsewhere in the universe, and if you don’t consider the part where that life basically just trolled us.”
The planets, in the Trappist-1 star system, had already set the astronomical world buzzing, as their size and surface temperatures indicated they could support water and life. How the symbols came to be, and what they might mean, has researchers confounded.
“It’s possible they are natural formations that were there all along but were only detected when the planets’ rotations were just right,” said South African astrophysicist Enrico Kotze. “But frankly, that seems unlikely. I can’t help but think that they’re attempting to communicate with us in a way that says, ‘We would very much like it if you didn’t attempt to communicate with us.’”
Given the Trappist-1 system’s distance, the mere fact that we can suddenly see the symbols also has scientists puzzled.
“That constellation is 39 million light years away, so technically, that message was created 39 million years ago and we’re just now seeing it,” said Gillon. “But – and I don’t know how they did it – I can’t help but feel it’s newer than that. There weren’t people here 39 million years ago, and that message is very personal.”
According to De Wit, every scientist on the project has come to an agreement on one aspect of the discovery.
“After contemplating the considerable engineering and logistical talent of transforming the surface of multiple planets into these giant symbols, we have decided they’re stupid planets and we never liked them anyway,” he said.
© 2017 SatireWire.com
"
OLD GROWTH iPHONE FORESTS IN DANGER,admin,https://www.satirewire.com/old-growth-iphone-forests-in-danger/,"

OLYMPIA, WA. (SatireWire.com) – Old-growth iPhone forests are in danger of disappearing, according to environmentalists who accuse Apple of recklessly clear-cutting the uniquely adaptable metallic trees.
The iPhone, or mobilis iCogitatio, was once one of the most common trees in North America, outnumbered only by the red maple and the loblolly pine. But since Apple first discovered the leafless timber’s unusual properties – once sapped, it shrinks to handheld size – the company has harvested more than one billion of the majestic species. With sales of 200 million a year, the pace is unsustainable and irresponsible, said Sierra Club Director of Cooptation Sidney Luther.
“Even in ideal conditions, an iPhone takes at least 40 years to mature, so in order to keep the stock flowing, Apple has ruthlessly stripped old-growth forests where iPhones have stood for 300 or 400 years,” said Luther. “Yet last July, Apple had the gall to celebrate its one billionth iPhone sold. They actually celebrated! It’s barbaric. Do you celebrate killing a billion whales or murdering a billion flowers?”
Particularly galling, said Luther, are Apple’s repeated denials that iPhones are a natural resource.
“The company keeps claiming that iPhones are assembled in Chinese factories by underage and poorly paid workers because they don’t want you to know the horrible truth: Apple is harvesting ancient iPhones without regard to the environmental consequences,” he said. “Don’t believe me? Cut one open and count the rings.”
Apple refused to comment on this story, but did strongly advise consumers not to cut open an iPhone as it voids the warranty.
“Oh, of course they’d say that!” Luther responded.
According to the Natural Resources Defense Council, cutting old-growth forests is not just devastating to the trees and the land, but to the coexistent wildlife.
“There are literally hundreds of small and rare animals living in and around the iPhone canopy, including the unicorn, the mini-whale, the kitty tiger, and the yellow-faced smiley,” said NRDC spokesperson Kit Pernow. “People don’t realize that if these creatures can’t escape, they are permanently trapped in the iPhone when it’s sapped and shrunk. Apple, rather cynically, calls them ‘emoji,’ but you should know that when you tap on one, you are essentially punching the corpse of a once-living thing.
“People are awful,” she added.
Despite the fact that Apple will not acknowledge iPhone harvesting exists, activists plan to put up a fight on behalf of both the environment and the consumer.
“Because Apple has been so reckless, one day very soon we’re going to run out of iPhones, and what are we going to do then?” Luther said. “There aren’t any other trees suitable for mobile adaptation. Samsung already tried it, making the Galaxy 7 out of wood, and look what happened.”
© 2016 SatireWire.com
"
"MELTING ARCTIC ICE EXPOSES ANCIENT, OMINOUS MESSAGE",admin,https://www.satirewire.com/melting-arctic-ice-exposes-ancient-ominous-message/,"

GREENLAND (SatireWire.com) — Scientists today said ice melt in the Arctic is perhaps much worse than previously thought, reaching their conclusion after a massive slab of glacier fell into the sea to expose the message: “If you can read this, you’re screwed.”
Written in letters 200 feet tall, the message was hidden deep inside Greenland’s massive Jakobshavn glacier, which formed 100,000 years ago and is one of the fastest melting ice sheets in the world.
“We don’t know who left that message or exactly when, but it’s pretty clear that whoever did was issuing a wake-up call,” said Danish glaciologist Dr. Tomas Frabil. “People can argue about the numbers surrounding global warming, but when the ice retreats to the point where you can read the words, ‘You’re screwed,’ that is pretty definitive.”
Climate skeptics, however, were quick to downplay the text, suggesting it may be a natural formation or the work of environmental activists. Experts ruled out a hoax, as the glacier calves so often and easily that anyone attempting to rappel down its face to sculpt the letters would die. And while unexpected shapes do appear in nature, no particularly rude words have been observed since lava flowing into the Sunda Strait after the 1883 Krakatoa eruption temporarily spelled out, “Bite me.”
For climatologist Ingrid Linsohm of McGill University, this leaves one conclusion.
“Some far-sighted, ancient civilization left that behind to tell us when we had reached the point of no return, and we’ve reached it. All is lost,” said Linsohm. “So, anybody got any heroin?”
But ExxonMobil Chaplain the Rev. Derrick Speuce had a different take.
“I think God put that message there because He knew it would one day be revealed, which means He knew about the ice melting, which means it was all part of His plan, which means there is no such thing as ‘man-made’ global warming, because it was God’s design all along,” said Rev. Speuce. “In other words, the Lord wants you to drive an Escalade.”
© 2016 SatireWire.com
"
"CREATIONIST TELESCOPE FINDS NEARLY 6,000-YEAR-OLD GALAXY",admin,https://www.satirewire.com/creationist-telescope-finds-nearly-6000-year-old-galaxy/,"
PETERSBURG, KY (SatireWire.com) – Creationists using a deep-faith telescope said today they have discovered a galaxy formed at the very beginning of time, nearly 6,000 years ago. 
The galaxy, which they named “Michael” after one of the earliest angels, is about 6,000 light years from Earth, but not more, “because light did not exist before that time,” researchers explained.
A telescope (above) is an instrument that aids in the observation of remote objects by collecting electromagnetic radiation. A creationist telescope (below) is the exact same thing, but with the lens cap on.
 
The team’s discovery was immediately condemned by the American Astronomical Society, which said “Michael” is actually the Andromeda galaxy, which formed 9 billion years ago. In response, Bertram Hill, lead theophysicist at the subbasement Creation Science Observatory in Kentucky, said, “No it isn’t” and called the debate a tie.
 
Hill and his colleagues made their observations using a specially designed Deep Faith Creationist Telescope, which is a standard wide-field, Ritchey–Chrétien hyperbolic telescope, but with the lens cap on. From there, calculating the age of Michael, and the Universe itself, was simple, Hill said.
 
“We know this galaxy is about 6,000 years old because we know the Universe is 6,000 years old, and we know that because, contrary to what non-believers say, we’ve done the math,” said Hill. “Specifically, we’ve taken the ‘supposed’ age of the Universe – 13 billion years – and multiplied it by .000046, which gives us, as we suspected, the true age of 6,000.”
But why multiply the age of the Universe by .000046?
 
“Because that gives us 6,000,” said Hill.
 
Using this same multiplier, Hill said creationists plan to further shake up the scientific community by announcing that dinosaurs died out 3,000 years ago, Jesus was born last month, and Pittsburgh was founded on Tuesday.
 
© 2014 SatireWire.com
"
HACKED FACEBOOK ACCOUNTS MAY EXPLAIN BILLIONS OF INANE POSTS,admin,https://www.satirewire.com/hacked-facebook-accounts-may-explain-billions-of-inane-posts/,"
NEW YORK, N.Y. (SatireWire.com) – Investigators who discovered hackers stole millions of user passwords from Facebook and other web sites said today account hijacking may finally explain the massive number of mind-numbing Facebook posts that appear on the site every day.
""What real person would post this?"" said cyber experts.
“It’s clear that malicious individuals have gotten into these accounts and, posing as the real users, posted the most useless and arbitrary things they could think of,” said CyberPicket CEO Marvin Distin. “How else would you explain a post like, ‘Another pretty sunset’ or ‘Went shopping today?’ Ordinary people wouldn’t do that. Obviously. It must be the work of some twisted hackers who get a sadistic kick out of filling the Internet with nothing.”
 
The stolen usernames and passwords from Facebook, Twitter and others, found on a server in the Netherlands, come from around the globe and have been collected over several years, according to CyberPicket. Facebook said it has reset the passwords for users whose accounts were compromised, but researchers are suspicious of that claim.
 
“It’s not fixed because these inane posts keep appearing,” said Distin. “Things like, ‘Eating breakfast at the Waffle House just outside Charlotte.’ ‘Looking forward to the weekend!’ These hackers must think we’re stupid.”
 
As an example, Distin cited a recent post by Facebook user Kent Siboben of Lindale, Ill., who posted a picture of his new mailbox and wrote ‘New mailbox!’ above it. “I’m sure Mr. Siboben would never do that himself,” Distin said.
 
However, reached via phone, Siboben admitted that he had posted the image. “Yeah, that was my new mailbox,” he said. “I thought it was, well, I don’t know what. Hey, a bunch of people ‘liked’ it.”
 
“My God, this is worse than I thought,” responded Distin. “The hackers have even infiltrated user phone numbers and are pretending to be actual people.”
 
According to security experts, the majority of hacked accounts found on the server had “absurdly simple” passwords associated with them, the most common being “123456,” followed by “123456789,” “1234,” “password” and “12345.” While some have suggested this is how hackers got into the accounts in the first place, Distin said it is more likely the infiltrators simplified the passwords.
“Actual people – those who knew anything about the Internet, anything at all – would never use ‘password’ as a password,” he said. “No, the hackers must have gotten in and changed the passwords to make it appear as if there are literally millions of incredibly moronic people on the Internet. Fortunately, this is so far from reality that we can see right through it.”
 
Copyright © 2013, SatireWire.com


"
MYSTERY DISEASE AFFECTS ONE IN NEARLY EVERY HUMAN BEING,admin,https://www.satirewire.com/confusing-disease-affects-one-in-nearly-every-human-being/,"

CDC, ATLANTA (SatireWire) — It is known by many names: Common Fulgent Peplepsia, Magnate’s Curiosity Disease, Pendleton’s Old Forthwith, The Kitchen Dropsy, Partial Suggestive Consumption, Captain Abraham’s Pitchpole, Male Pattern Balls Cup, The Widow Confuser, The Belching Flirts, Mazelcoffin, Screamy Screamy Run Run, Pre-Seasonal Objective Disorder, Knackered’s Delight, and The Kissing Cyster, but one thing is universally known: 
Aparalytic Contradysfunctional Exoficial Disorder, or ACED, affects one in nearly every human being between the ages in the world.
 
Yes, it is that widespread.
If you have ACED, please don't take pictures. Ugh.
 
Forty years ago, even ten years ago, but for a brief period six years ago, ACED was never diagnosed. Just as people with ADHD were once labeled hyperactive, or overly impulsive, or inattentive, or, medically speaking, “kind of annoying,” people with what we now call ACED were once written off as easily barked, or simple, or self-neutering, or just… slightly, among other things. Today research tells us that ACED is a complicated, confusing, often misdiagnosed disease, especially when diagnosed. And we know that the more researchers learn, the less we realize we know more, which in itself may be a sign that the researchers themselves have ACED.
 
What we do know about ACED is that there are more questions than answers. Questions such as: What are the symptoms of ACED? How can it be treated? Will insurance pay for treatment? Should your child go to a school just for ACED kids? What if your doctor says you or someone you love or have fantasized about has ACED? What if your doctor has ACED and wants to sell it to you? What do you do if a teacher says your child has ACED, or if a teacher says he or she is gay?
 
This guide can’t answer all those questions, but you, extrapolating from this guide, should be able to answer those questions. If you can’t, you may have ACED.
 
This guide will, however, not help you learn how to cut through the red tape and get what you need from doctors, teachers, schools, healthcare providers, coaches, employers, mid-level management, your local postal worker, security personnel, unlicensed hypnotherapists, stevedores, lighting directors, crossing guards, riverboat captains, invasive species of broadleaf weeds, authors, editors, starlings, police, fire, and emergency services personnel, habadashers, scientists, the Dish Network, the American Automobile Association, the Federal Emergency Management Association, MI6, 1-800-Flowers, the Attorneys General of 42 states, club bouncers, frequent flyer programs, the Lake Oswego Dam Association, your timeshare, the sun, car rental agencies, trade negotiators, nitrogen-rich soils, Canadian pharmacies, shepherds, small claims adjusters, mobile phone representatives, carnies, maple syrup distributors, Carson Daly, friends of friends, people who cramp up when not properly stretched, morally flexible members of the International Olympic Committee, large animal veterinarians, and the clean-up professionals at 1-800-ServPro.
People with ACED sometimes enjoy freaking out unhatched chicks by bathing them in eery light and whispering the word 'Fox.'
 
So, what are the symptoms of ACED?
 
Symptoms run the gamut from 0 to Z. Among them are: confusion; calm to violent moods; slumping between thoughts; using the hands to form symbols or signs of greeting; being needlessly anecdotal, secretly apocryphal, or involuntarily topical. People with ACED also often show signs of wariness, didactic toiletry, stringent obsessive abstrusity, or malfeasant sweating. They can be easily poked, quick to react to loud foreskins, and clumsy with bears. Though present at birth, ACED sometimes does not manifest itself for hours, or sometimes decades, or even years after death. Overnight, a seemingly happy, healthy person suddenly wakes to find their nipples imperceptibly smaller, foods taste longer, and that someone named Wilson has borrowed their pants.
 
 
Is ACED contagious?
 
Researchers say ACED is not contagious. This from the World Health Organization: “’ACED is absolutely non-communicable’ — is what we’ll tell the general public because we don’t want to start a worldwide panic by revealing that it is, in fact, absurdly contagious. Remember to redact all but the first bit of this statement.”
 
 
I think I have been exposed to ACED. What should I do?
 

Drink plenty of water.
Cook meat and poultry thoroughly.

Immediately wash your clothing in a mixture of salt water, vinegar, and regret.
Check your skin for redness, itching, bumps, wrinkles, pores, follicles, and general stretchability. Note any changes. Remove any skin that is not your own.
Run for 20 miles in an attempt to “out-run” the virus. After 20 miles, keep going. Never stop.

 
I think I have ACED. What should I do?
 

Call 911 but be vague, so as not to cause a panic.
Find someone to spend the rest of your life with, even someone irritating at this point.

Elevate your feet above your heart. Urinate on exposed areas.
Meditate to reduce anxiety and keep you from focusing on certain death.
Buy a small pickup truck — used is fine — and drive to the nearest emergency room. Ask for Tess. If no one named Tess is employed there, wait until someone is.
Think about what you could have done with your life if only you had been someone else.
Cook meat and poultry thoroughly. 

 Is there any way to detect ACED early?
 
Yes. Swallow a canary. As long as it keeps singing, you do not have ACED. (Note: Canaries may have ACED)
Scientists believe ACED can be avoided by starving your hand of oxygen.
 
 
Is it OK to go on vacation with ACED?
 
Yes. If you want to ruin everyone else’s vacation.
 
Does ACED impair driving?
 
Don’t know.
 
Will ACED make it difficult for my child to make friends?
 
Don’t know.
 
Do bullies pick on kids with ACED?
 
Probably. We would.

 
Will ACED medication interfere with my other medications? How much fun will I have finding out?
 
There are currently no medications clinically approved to treat ACED. We suggest trying various combinations of existing medicines. That’s what we did while writing this guide.

 
What if my initials are ACED? Does that mean I have it?
 
Stands to reason.
 
I still don’t understand exactly what ACED is. Is that a sign that I have it?
 
If we had to guess? Yeah.
 
This guide doesn’t really make sense. Is it possible that the author has ACED?
 
Cook meat and poultry thoroughly.
 
 Copyright © 2013, SatireWire.com


"
"NASA TURNS OFF SPACE TELESCOPES, GOES OUTSIDE",admin,https://www.satirewire.com/nasa-turns-off-space-telescopes-goes-outside/,"

WASHINGTON, D.C. (SatireWire.com) – Saying everyone had spent more than enough time sitting in front of computer screens and TV monitors, NASA today abruptly turned off all its space telescopes and satellites and told scientists to go outside, for God’s sake. 
With more than 85 missions suddenly gone black, the 18,000 astronomers, mathematicians, technicians and others did as they were told, but not without a lot of grumbling and whining.
 
“Just 10 more minutes?” asked a team of astrophysicists at the Goddard Space Flight Center in Maryland. “We’re just getting to the good part of this spectrum test.”
 
“No!” their NASA administrator responded. “And take your friends from the European Space Agency with you.”
 
At the Jet Propulsion laboratory in Pasadena, Cal., astronomers were interrupted right in the middle of observing their favorite star cluster, NGC 602.
 
“But stars are cool!” griped lead researcher Nicole Weiss as she bumped past her director and sulked out the door, followed by a group of sullen Cal Tech physicists. 
After initially complaining, some scientists actually enjoyed themselves.
 
“Look, there’s a star, right there, in the sky,” said her boss, pointing to the Sun. “Isn’t that cool?”
 
“Ouch! It hurts my eyes,” whined Cal Tech Prof. Stephen Kielli.
 
“Let’s go back inside and look at it on a monitor!” suggested Weiss.
 
The U.S. space agency faced a similar reaction from scientists pouring over data from the Cassini spacecraft, which is studying Jupiter’s moon, Titan.
 
“Go outside? But it’s raining,” argued planetary scientist Gilles Fouchier.
 
“No it’s not. It’s a beautiful day,” replied his supervisor.
 
“Not here. On Titan. It’s raining benzene!” said Fouchier.

 
“I don’t care if it’s raining Benadryl, get outside!” barked his boss.
 
“Well that’s just dumb,” Fouchier muttered under his breath as he stalked down the hall. “It can’t rain Benadryl on Titan. There’s no diphenhydramine on Titan. Stupidhead.”
“What was that?” said the supervisor.
“Nothing,” Fouchier mumbled.

 
But outside the Johns Hopkins University Applied Physics Laboratory, where a NASA-led team has been working on radiation belts, deputy project scientists Han Ni Po and Elsa Grindell were surprised as they emerged blinking into the sunlight.
 
“Wow, it’s summer,” said Han.
 
“It’s… 2013,” noted Grindell.
 
NASA said it would use the time “to clean up around here,” starting with the bathrooms, where, “these geniuses, who can remember pi to 100 decimal places, somehow never remember to put the seat down.”
 
Copyright © 2013, SatireWire.com


"
DESIGNER  #HASHTAGS THE LATEST TREND IN TRENDING,admin,https://www.satirewire.com/designer-hashtags-the-latest-trend-in-trending/,"
NEW YORK, N.Y. (SatireWire.com) – The common #hashtag, once the telltale sign of what’s hot online, is on the way out. In its place, the designer hashtag – bold, colorful, often playful symbols that tell Twitter, Tumblr and the rest that not only are you on top of what’s trending, you’re trending right along with it. 
Kate Moss’ new slimming hashtag, which de-emphasizes the “pound” in “pound sign.”
From Gucci and Prada to Dior and D&G, fashion labels have stormed in to revive, revamp, and often revolutionize the off-the-rack, one-size-fits-all # sign. These designer hashtags come at a price – from $25 to $2,500 per use – but advocates say the cost is worth it.
“Hashtags told you what was trending, but designer hashtags make what’s trending look trendier,” said Vogue editor Kat Malques. “They’re like uber trendy, like almost so trendy that it hasn’t even trended yet. They’re basically pre-trend.”
 
 
Ralph Lauren’s hashtag for men.
“These new hashtags say, ‘Not only do I know what’s new and cool, but I look cool telling you about it,’ explained Cam McCauley at Dolce & Gabbana, which uses vivid florals and brash polka-dots in its hashtags. “When I use one, I feel like I’m trending.”
The styles certainly run the gamut of the grammatical symbol runway. Kenzo, for example, has opted for an anytime, anywhere hashtag ($99 per use) that simultaneously speaks to your need for something “Totally New,” yet is also not so conceptual and tricked out that it looks like it’s trying too hard. Asian-American designer Jason Wu, meanwhile, has woven Oriental culture into couture by producing a calligraphic masterpiece of a hashtag, ($129 per use), complete with kimono-like cap sleeves.
Jason Wu’s Asian-themed hashtag.
 
 
Design-world bad boy Marc Jacobs, not surprisingly, has gone retro, releasing a simple black hashtag — show here: # — that reviewers have called “elegant, traditional, and strikingly similar to the hashtags of yore.” Offered in standard Arial, Helvetica, or Verdana, what makes these hashtags different is the price: $499.99 per usage.
 
Taking the counter approach, couturier Derek Lam has a new summer line of hashtags that are, “simple, light, and revolution-airy.” Instead of four lines in a crosshatch pattern, Lam uses just one horizontal line, “–” which hints at the existence of the other three lines. Reviewers were not impressed. “It looks like a hyphen,” said InStyle.
So far, whether a hashtag is revered or reviled doesn’t matter. Twitter, Tumblr and  sites that use #hashtags don’t recognize any of the new offerings as hashtags. For designers, however, lack of acceptance is itself a badge of honor — “Proof of how trendy we are,” said Lam.

 
And if designer hashtags are a trend, the trend within that trend is minimalist. While Lam’s design is simple, Adobe and Gucci have teamed up to go a step further. They’ve released a line of “Flashtags,” which disappear in six seconds and cost $25 per use.
 
 
Walmart’s customer-inspired “relaxed waist” hashtag for ""posting online from the comfort of your  trailer home.”
“Something that’s truly ‘now’ should not last for more than six seconds, which is why our flashtags disappear so quickly,” said Adobe’s new VP of Design Ing Miyuchi. “It happens so fast you really don’t have time to think about the topic, much less learn about it. It’s a perfect reflection of modern life.”
 
But that approach may already be yesterday. Next month, Christian Dior is expected to offer a white-on-white hashtag, an essentially invisible symbol that only the user will know about.
 
“It’s a confidence thing,” explained Dior spokeswoman Feschia Puce. “It’s like, I know this is trending, and I’m so in the know that I don’t need you to know I know because I already know. So you can’t see the hashtag, but I know it’s there, and because it’s me, I assume that you know it’s there. We call it the Emporer’s New Hashtag. $2,500 per use.”
 
Celebrities, naturally, have jumped on the #bandwagon. In the fall, Justin Bieber will release a line of hiddenstashtags, Lindsay Lohan will launch rehashtags, Miley Cyrus goes to her roots for whitetrashtags, and of course you-know-who will introduce a line of Kardashtags, which, like their namesake, will automatically tag anyone famous.
 
Copyright © 2013, SatireWire.com
"
INTO THE GREAT ABOVE: THE CICADA STORY,admin,https://www.satirewire.com/above-the-below-a-cicadas-story/,"
There are a billion stories in cicada city. Some of them are long and some of them are short. Well, actually, all of them are short. Relatively. They’re cicadas, not sea turtles. Point is, these are a few of those stories.
Treetop, for that is what he has named himself, scrabbles toward the light. After 17 years underground – 17 dark and lonely years living on tree sap and hope – he emerges, cold, frail, but alive. Fresh air thrills his lungs. The sky, so much brighter than he imagined, burns away the cloying decay that for so long defined him. But he does not linger on that past. He does not dwell in the what-was. Instead, on instinct, he climbs. And he climbs. The tree on whose roots he survived becomes his ladder; his path to a new life, a new start, in the Great Above. Up there, he tells himself, is the world he has dreamed of. Up there, just a little further, is a world of sunlight and song, of wings and flight and wonder. But then a bird eats him. 
Nearby climbs Icarus, smaller than many of his kind, but with a determination not seen since the days of his father, Leafrunner, and his mother, Dart. He never knew his parents, but he senses their presence. Though he cannot explain it, he knows, deep down in his ventriculus, that the spirit of his cicadean ancestors is what drives him, pulls him upward, makes him believe that today, Emergence Day, anything is possible. He pauses to catch his breath on a branch and wonders if they can see him, if they are proud of him. But then a bird eats him.
 
Cyllata feels like she’s in a stream, not of water, but of life itself. Where once she was alone, now there are thousands, just like her, all around her, streaming upward, skittering over the rivulets of bark. Her unseeing, subterranean eyes do not belie the excitement she feels, nor do they behold the nymph she was. She only knows that now is the time to become an adult. Now, as she clings to this branch, to this moment, she knows the time has come to shed her skin; to break out of her shell; to emerge bold and beautiful, a swan of her species. Her body quivers as her shell splits open, as Cyllata, the new Cyllata, the real Cyllata, emerges. And then is eaten by a bird.
 
Grass was never one much for imagining. Seventeen years of soil and solitude didn’t lend themselves to fantasizing, to “What ifs?” Patience was the key. Forbearance was the watchword. So it was no surprise, certainly not to Grass, that he named himself for the very first thing he came across when he clambered, at long last, from his lair. He did not think or wish or daydream as he climbed. He did not romanticize or visualize as he clung, like a mantis to its prey, and waited for instinct to take over, for his carapace to crack, for his body to thrust itself out, bit by bit, into the world above. Instead, it is now, only now, finally now, as his wings spread and his antennae shiver and the dew of 17 summers lifts from his eyes, that Grass allows himself to be surprised. Because a bird has eaten him.
 
“Sun! Wind! Warmth!” Ptera sings as she basks on a leaf, unshelled and alive — oh so very much alive! “Green! Blue! White!” she chirps as the trees and the sky beckon her to join them. “Clouds! Shadows! What the…?” she adds as a bird eats her.
 
Some men, they say, are born to the mines. Others are born to dance. They know, in their beings, what to do, how to do it. Shellsong, of course, knew nothing of men or mines. But he did know about love. He was born to love. He understood love. In his spiracled cicadean soul, he knew what to do, how to do it. He knew that his song, the plaintive cry from his taut, tymbaled loins, would prove irresistible. And he knew that his love, his mate, would return his call with a click.
Song-click
Song-click
Song-click.
 Sweet love.
 That’s how it worked. And right on cue, as if Venus herself had taken up his melody, Shellsong hears it. The click. Right behind him. Is that my love? he thinks. Is that my darling? Is that my destiny? No, it’s a bird. Damn.
 
In a thousand lifetimes, in a thousand times a thousand lifetimes, you would not find lovers more perfect for each other, more “meant” for each other, than Brightwing and Folitia. She, Folitia, is young and beautiful, an acrobat in the air with white-frosted wings and ruby eyes that shine with something more than desire – they shine with passion; captivating, honest, endless, He, Brightwing, is twice her age, having emerged three days earlier. He is wizened but not cynical, patient but not pedantic, and eaten by a bird moments before she is.
 
Author’s Plea: Every day, millions of cicadas are cruelly, savagely, needlessly eaten. Any why? Because they’re delicious. But it doesn’t have to be this way. You can make a difference. Take the time, right now, to call or write the birds. Tell them to stop eating cicadas. Do it for Treetop and Grass, for Ptera and Cyllata. But most of all, do it because it will really confuse the birds, who don’t know how to read.

Copyright © 2013, SatireWire.com


 
"
INDIGENOUS MARTIANS THRILLED AT PROSPECT OF BEING COLONIZED,admin,https://www.satirewire.com/indigenous-martians-thrilled-at-prospect-of-being-colonized/,"
OUT THERE (SatireWire.com) – Word that a private aerospace company is launching a mission to colonize Mars has reached the Red Planet, where the local life forms say they are thrilled at the prospect of being colonized by humans, who have such a strong track record of respecting indigenous cultures.
""I hope the conquistronauts plant their flag right through my heart!"" said an excited indigenous life form.
“We know your history and are very excited by the new ideas you will bring,” said N7K, a methane-breathing organism as yet undetected by humans. “We will show you how to survive in our hostile environment, but in return you must show us how to be exploited, infected, starved, segregated and, eventually, slaughtered!”
Mars, it should be noted, is considered one of the more sarcastic planets in the solar system.

 
“Really, I hope you’re not disappointed in us,” N7K added. “We don’t have tear ducts, so we won’t be able to cry when you force march us from our lands.”
 
 
The Mars project, run by a company called Mars One, plans to begin accepting applicants in June for a series of one-way journeys beginning in 2023. Eventually they hope the astronauts establish a settlement.
 
 
N7K said that although his species – called galldendrens — is thriving and numbers in the millions, it undoubtedly could do with some outside interference.
 
“I think we appreciate the resources we have, but probably you will appreciate them even more since they will be new and different and not yours,” he said. “Yes, we’ll probably go through a rough patch where you burn our homes and steal our treasure and convert us to your religion at gunpoint, but maybe in 500 years we’ll get to have a casino! That would be totally worth it.”
 
Mars One CEO Bas Lansdorp said he was surprised to hear of the galldendrens, but doesn’t think it will impact colonization.
“Even if something is there, I don’t believe there is any intelligent life on Mars,” Lansdorp said. “There may be some primitives, but no civilization worth considering.”
“Yes, that’s right,” N7K replied. “Just unintelligent primitives not worth considering… said Cortez.”
 
If the galldendrens do exist, Lansdorp insisted the colonists should hardly be seen as conquistadors bent on decimating an indigenous culture.
“Really, it’s just a few ships,” he said.
 
“Yes, it’s just a few ships… said Columbus,” N7K replied.
 
Copyright © 2013, SatireWire.com


"
