Title,Author,URL,Body
"MCI Offers New ""Friends and Family and FBI"" Plan",admin,https://www.satirewire.com/mci-offers-new-friends-and-family-and-fbi-plan/,"







Clinton, Miss. (SatireWire.com) – Promising to save you money on the calls you make the most, MCI today unveiled its new “Friends and Family and FBI” plan, allowing customers to add any branch office of the Federal Bureau of Investigation to their circle of regularly called friends and family. 
“At MCI, we realize you don’t want to pay a lot to report suspicious activity,” said MCI spokesman Mandy Grithway. “Under our new program, all you do is provide us with the phone numbers of the relatives, friends, and field agents you want in your circle, and if they sign up too, you’ll receive up to 25 percent off those calls.
“Whether you’re phoning up to say hello, to plan for the holidays, or just to report an unusual white van cruising around the local reservoir, ‘Friends and Family and FBI’ meets your everyday calling needs,” he added.

Copyright © 2001-2009, SatireWire. 
"
Business-To-Unemployment (B2U) Dubbed Next Big Thing,admin,https://www.satirewire.com/business-to-unemployment-b2u-dubbed-next-big-thing/,"
San Jose, Cal. (SatireWire.com) – It’s taken a couple of years for the Next Big Thing in e-business to reveal itself, but after another massive wave of dot-com cutbacks this week, analysts have concluded the Internet is migrating toward a layoff-based business model, which they’re already labeling B2U, or Business-to-Unemployment. 
“Like most true sea changes, we didn’t recognize this one until it was staring us in the face,” said Gartner Group analyst Pam Wallaby, who refused to explain how a sea change can stare one in the face. “But if you look at how aggressively dot-coms have been disintegrating, it’s clear that to be an Internet player today, you have to focus on layoffs.” 
Tim Draper, of venture firm Draper Fisher Jurvetson, asserted that he won’t even look at a new business plan if it doesn’t include a layoff schedule. “We’re still getting proposals from B2B and even B2C entrepreneurs, but I think the ideal startup today has to FLLO,” said Draper, referring to the newly-minted ‘Form-Launch-Lay-Off’ business model “That, to me, is the new definition of a pure-play Internet company.” 
Copyright © 2000-2009, SatireWire. 
"
Dot-Coms Just Dying to Get Prized OTC Listings,admin,https://www.satirewire.com/dot-coms-just-dying-to-get-prized-otc-listings/,"







New York, N.Y. (SatireWire.com) – In an emerging trend analysts are comparing to the IPO mania of 1998-1999, publicly-traded Internet companies are leaving the Nasdaq in a mad rush to have their struggling shares listed instead on the obscure Over-the-Counter stock market, a difficult but not impossible task achieved by strategically failing to meet minimum Nasdaq requirements. 
Executives at dot-coms such as Beyond.com and DrKoop denied they were purposely underachieving, but so far, analysts aren’t buying their arguments. “Look at how these companies spend and lose money, the way they just happen to let their stock prices fall below the $1 minimum necessary to stay on the Nasdaq,” said PaineWebber analyst Kevin Krieger. “They can deny it, but it’s obvious to everyone they’re just dying to get on the OTC.” 
 In fact, Krieger estimates that by 2002, more than 80 percent of dot-coms will attempt the heady jump from the Nasdaq to the OTC. Asked why, Krieger pointed out that unlike a Nasdaq-listed firm, an OTC company avoids interruptions and attention from analysts, the press, investors, and other companies, he said. In addition, it can see its stock trade “many hundreds” of shares in a single day
Copyright © 2000-2009, SatireWire. 
"
"Domino's-Sponsored Rocket Late, Probably Cold",admin,https://www.satirewire.com/dominos-sponsored-rocket-late-probably-cold/,"







Astana, Kazakhstan (SatireWire.com) – After yesterday’s explosion of the Russian rocket sponsored by Pizza Hut, (see story), the Russian Space Agency this morning launched its backup rocket, sponsored by Dominoes, but the vehicle and its pilot, 17-year-old high school dropout Nick Turley, are already two hours late and apparently lost. Said cosmonaut Uri Petrovic, who is impatiently waiting for the rocket aboard the international space station: “The guy called twice for directions. It’s probably cold anyway. No way does he get a tip.” 
Copyright © 2000-2009, SatireWire. 
"
DRUNK REPORTERS RENAME NASDAQ,admin,https://www.satirewire.com/drunk-reporters-rename-nasdaq/,"







New York, N.Y. (SatireWire.com) – The National Association of Wall Street Journal and Lesser Business Reporters, frustrated that the erratic stock market precludes them from easily identifying it as bull or bear, got horribly drunk last night and unilaterally renamed the NASDAQ stock market “Dorothy Hamill,” a name they promised to use in print until “a two-thirds majority” of the members sobered up. 
Copyright © 2000-2009, SatireWire. 
"
85 Percent of Nation's 2.9 Million Jobless Say They're Not Just Statistic,admin,https://www.satirewire.com/85-percent-of-nations-2-9-million-jobless-say-theyre-not-just-statistic/,"
Washington, D.C. (SatireWire.com) – In a new Gallup poll on the dehumanizing aspects of job loss, nearly 85 percent of the nation’s 2.96 million unemployed said they “agreed somewhat” or “agreed strongly” with the statement, “I am not just some mind-numbing statistic.” 
“I think what we found quite interesting was that the overwhelming majority of respondents, 75 percent, said they were genuinely hurt by efforts to categorize and compartmentalize their difficulties,” said Gallup researcher Evan Krest. “This was particularly true of women between the ages of 30 and 49, and men who have been unemployed for six months or more.”
But the most empirically moving answers, Krest added, were given by the 62 percent who said they hoped the study would finally put a human face on their anonymous plight.
“One 18-to-29-year-old woman said she was a real person with a real name and real problems that could not possibly be adequately conveyed using cold-blooded numbers,” he recalled. “Unfortunately, her responses were within the margin of error of plus- or minus-3 percent, so she didn’t count.”

Copyright © 2001-2009, SatireWire. 
"
"""Sponsorship Rectangles"" Replace Banner Ads",admin,https://www.satirewire.com/sponsorship-rectangles-replace-banner-ads/,"







New York, N.Y. (SatireWire.com) – In a surprise concession, the Internet Advertising Bureau today acknowledged the banner ad is dead, but expressed confidence that its latest innovation, “Sponsorship Rectangles,” will spread quickly and reignite online advertising. 
According to the IAB, the Sponsorship Rectangle is a radically new marketing concept that allows companies to “sponsor” individual Web pages by placing special “company messages” in a 468×60-pixel rectangle atop each page. These messages can be used to promote a product, company, or event, and can even be “animated” to draw attention to the sponsor. 
“Basically, we told our member ad agencies to throw out the banner ad concept and start from scratch,” explained IAB spokesman Tim Turpin. “I think it’s fair to say that they rose to the challenge just as you would expect.” 
Copyright © 2000-2009, SatireWire. 
"
"Telecom Merger Will Create First ""Single Phone Company""",admin,https://www.satirewire.com/telecom-merger-will-create-first-single-phone-company/,"







San Antonio, Texas (SatireWire.com) – In a landmark decision expected to create an unprecedented “single, nationwide phone company,” a federal judge yesterday approved the merger of BellSouth, SBC, Sprint, Verizon, MCI, Qwest and 40 other communications firms. The combined company, which would become America’s first “sole provider” of local and long-distance service, will go by the new name of “American Telephone & Telegraph.” 
“Historically, we have forced people to choose from among several phone different companies and pricing plans, which is confusing and anti-consumer,” wrote Judge Thomas Akers. “Entrusting all service to a massive, single company – a mother figure, if you will – seems like something we at least ought to try.”
Analysts, however, warned the concept of a single phone company is untested, and speculated such a firm would meet several obstacles. “For instance, if you have just one phone company, it has to service the entire nation all by itself without any competition,” said IDG telecom analyst Fenton Frederick. “Without knowing what prices competitors charge, how will it know what to charge?”
Responded new American Telephone & Telegraph CEO Charles Lee: “Oh, I’m sure we’ll manage.”

Copyright © 2000-2009, SatireWire. 
"
"Greenspan ""I'm More Popular Than Jesus""",admin,https://www.satirewire.com/greenspan-im-more-popular-than-jesus/,"







Washington, D.C. (SatireWire.com) — Federal Reserve Board Chairman Alan Greenspan, who told a London Evening Standard reporter last week he was “more popular than Jesus Christ,” apologized today to the world’s 600 million Roman Catholics, and asked them to please get the hell off his lawn. “I was not saying I was greater or better than Jesus,” Greenspan told the followers. “Now go away, and take all this myrrh with you.” 
Copyright © 2000-2009, SatireWire. 
"
AIRLINE CUTS COCKPIT CHATTER,admin,https://www.satirewire.com/airline-cuts-cockpit-chatter/,"







Newark, N.J. (SatireWire.com) – Continental Airlines, concerned over studies linking car phone use to traffic accidents, today moved to preempt similar incidents in the sky by banning the use of all communications devices in cockpits. According to Continental, an internal study revealed that its flight crews were “continually on the radio,” most often with air traffic controllers, and particularly before takeoff and landing when, said a spokesman, “they should be concentrating the most.”
Copyright © 2000-2009, SatireWire. 
"
Lucent Stays Focused on Losing Money,admin,https://www.satirewire.com/lucent-stays-focused-on-losing-money/,"
Murray Hill, N.J. (SatireWire.com) – In the most hopeful sign yet that the American economy may be returning to normal, Lucent Technologies posted another staggering quarterly loss on Tuesday. 
Lucent CEO Henry Schacht said posting the $8.8 billion net loss, its fourth consecutive quarterly deficit, proves that terrorists have not been totally successful in disrupting the American way of life. 
“We’ve said for months that we would lose money, again. Everyone expected us to lose money, again, and despite everything that’s happened, we did it,” Schacht boasted. “I think it’s a good message for everybody: if we let the terrorists change our normal routines, if we allow them to change the way we function, then they win. Well not this time.” 
Copyright © 2001-2009, SatireWire. 
"
GE Succession Losers Demand Recount,admin,https://www.satirewire.com/ge-succession-losers-demand-recount/,"







Fairfield, Conn. (SatireWire.com) – The two General Electric executives who lost out when GE’s Jack Welch named Jeffrey Immelt to succeed him as CEO demanded that Welch recount his vote yesterday in an effort to ensure Welch’s true voice was heard. 
In Welch’s initial vote, Immelt, currently head of GE’s medical systems division, beat out W. James McNerney Jr., president and chief executive of GE Aircraft Engines, and Robert Nardelli, president and chief executive of GE Power Systems. After conferring with himself, Welch acceded to the request, and counted himself by hand.
“One,” said Welch. “There. You guys lose.”

Copyright © 2000-2009, SatireWire. 
"
