Title,Author,URL,Body
ESB Lad Cleaning Up On Cash Payments For Connecting Homes,Colm Williamson,https://waterfordwhispersnews.com/2023/10/04/esb-lad-cleaning-up-on-cash-payments-for-connecting-homes/," LOCAL ESB employee Jimmy Tobin is making an absolute killing on cash payments made by builders looking to hook up new homes with electricity in a timely manner. “It usually takes weeks to get a place connected but if ya put cash into my hand I’ll be out after work no problem,” Tobin explained, wondering now what to spend the cold hard cash on, “sure there’s loads of us at this craic for years – it’s the Irish way of getting things done”. It is estimated Tobin charges anywhere between 5 to 10 thousand euros for the practice, which is highly illegal but has been never properly investigated by the ESB or Gardaí, apart from one recent case in High Court. “The contracted Uisce Éireann lads are at it too, might as well make hay while the sun shines, as the fella says, wha’?” Tobin added, not a fucking bother on him at’all at’all, “I made nearly 40k hooking up a development last week, at this rate I’ll be able to afford to build my own housing estate in a few years and then rent it back to the council for an absolute fortune – ya gotta love this country, boy!”"
N/A,N/A,https://waterfordwhispersnews.com/2023/10/03/rentalcars-com-voted-worst-bastard-piece-of-shit-company-to-ever-operate/,N/A
Mix Up: Aldi & Lidl Staff Spent Year Working In Rival Supermarkets Without Realising,Julius Hubris,https://waterfordwhispersnews.com/2023/09/21/mix-up-aldi-lidl-staff-spent-year-working-in-rival-supermarkets-without-realising/,"COMPETING routine HR reviews actioned by senior staff at both Lidl and Aldi revealed that a number of absent-minded staff accidentally worked a full year in the rival brand supermarket after straying onto the premises one day. “How did we not catch this sooner,” marveled a Lidl HR manager reviewing CCTV footage which showed one Aldi-clad worker put in a year’s worth of work in Lidl while going undiscovered. “Sure, the public sort of smash us together as interchangeable and one in the same but for our own employees to do it? Wow,” confirmed a joint statement for Aldi and Lidl. One Lidl employee who worked a year in Aldi by accident defended their blunder. “It’s not a stupid as it sounds, I was particularly tired one day and I must have walked into Aldi by mistake but c’mon the manager in Aldi was also called a stern woman called Magda and it’s not like there were loads of staff buzzing around, the shop floor is a ghost town,” explained Ciaran Tiernan.  At least 28 staff nationwide, from both retailers, made similar errors however disruption at affected branches remained minimal. “Their middle aisle also had a special offer a 4-in-1 toaster/vacuum/power washer/home gym combo that same week, I’m not taking the blame for this, they need to sort making sure their vibes aren’t so identical,” explained the Lidl and Aldi CEOs who unwittingly had switched places for the year as well."
TikTok Fined €300mn For Targeting Children When Still In The Womb,Julius Hubris,https://waterfordwhispersnews.com/2023/09/18/tiktok-fined-e300mn-for-targeting-children-when-still-in-the-womb/,"YET ANOTHER humongous fine has been levied on TikTok after the Irish Data Protection Commissioner found the app was targeting potential child users while they were still in the womb. Already fined for breaches related to the processing of children’s data, the most popular social media app amongst children under 13 is accused of further courting of that lucrative demographic. “The doctor was like, ‘oh lovely you’re having a boy’ and that’s when I saw the phone in my womb which was endlessly scrolling content clearly geared towards children who, according to regulations, are permitted on the app,” said soon-to-be mum Grace Leahy.  This news is set to dwarf the fines issued last week for a TikTok feature called ‘Family Pairing’ which meant a child’s account could be ‘paired’ with an unverified non-child user but TikTok did not verify whether this user was actually the child’s parent or guardian. “I was overjoyed to feel my child kick for the first time but then I realised they were clearly doing a TikTok dance trend,” shared upset Mum-in-waiting Sarah Cloffey. TikTok has denied all accusations it has targeted children in the womb but could provide no explanation for the increase in instances of a condition called ‘TikTok eyes’ whereby the children’s pupils were the pink and aqua orbs. “Sorry, so so sorry. The EU has been up our arse over this. Please, please, please, please keep all your lovely taxable revenue in Ireland please. Promise not to be mad when we fine you for illegal transfer of user data back to China either,” confirmed a DPC official in tough-talking exchanges with TikTok."
WWN Reviews Sean Quinn’s New Book,Julius Hubris,https://waterfordwhispersnews.com/2023/09/15/wwn-reviews-sean-quinns-new-book/,"WWN’s literary editor Peter Percival Penrose reviews Sean Quinn’s new book ‘In My Own Words’ which sets a new benchmark for getting paid to write any old shite.  “Freddie Mercury was the master of the pop vocal range, Laurence Olivier the undisputed master of the craft of act and Sean Quinn is the preeminent talent in the field of self-pity. He is to honesty what Dave from Portmarnock is to expertise in cosmic events and meteorite identification. The phrase ‘and obviously I had no idea about all that business’ frequently closes out passages in which Sean Quinn distances himself from various crimes. Doing so little reflecting he might as well be a mirror with all the glass taken out. There are certainly words, and many of them come together in a specific order to form sentences but that doesn’t make it readable. In order to read the book you need a reading age ‘toddler who is incapable of telling the truth about who spilled the milk on the kitchen floor’. The free Stanley blade given away with each book can be deemed in poor taste. Over the book’s 242 pages the phrase ‘needless to say I had the last laugh’ appears 647 times, however it also include as asterisk which is followed by the words ‘he did not in fact have the last laugh’. The opening pages include instructions to former Quinn employees to purchase 20 copies of the book each or else. Sadly I was unable to read the last chapter as by the time I got to it Sean Quinn had already lobbied Google under ‘right to forget’ laws to remove it."
BREAKING: Pub Has Only One Decent Shitter,Colm Williamson,https://waterfordwhispersnews.com/2023/09/14/breaking-pub-has-only-one-decent-shitter/," PANIC has set in for local man Daniel Ryan today as WWN can exclusively reveal the pub he’s currently sitting in has only one decent shitter which is usually occupied by people not taking a dump. The IBS sufferer known for his sudden treks to the nearest bog tried hard not to overthink the fact Brady’s Inn has now joined the majority of Irish pubs in having only one decent shitter for men. A shitter that he will be forced to wait in line on as complete bastards who piss all over the toilet seat because they’re too bladder shy to relieve themselves at the urinal and coke heads now hog the only available shit bucket within 500 meters. “Bad idea having that Indian before heading out tonight,” Ryan told himself, before praying he wouldn’t be caught short again this week, “women have no idea how lucky they have it with all their private shite boxes, if it comes down to it I’ll just have to whip me jocks down, aim me hole at the urinal and hope for the best”. As stipulated in the Irish constitution, all Irish bars must adhere to a one shitter rule for men’s toilets, a draconian law presumably invented to prevent fornication between men in the jacks."
Banks Warn Of New ‘We Replaced Staff With Chat Bots & Now Hackers Are Taking Advantage’ Scam,Colm Williamson,https://waterfordwhispersnews.com/2023/09/14/banks-warn-of-new-we-replaced-staff-with-chat-bots-now-hackers-are-taking-advantage-scam/," BANKS responsible for drastically cutting staffing numbers and turning branches into cold, faceless bank shelters dependent on poor automated teller machines and chat bots have warned customers that scammers are now taking advantage of this fact, WWN reports. “Who’d have thought replacing puny humans with mediocre technology to look after the world’s most important commodity would result in said commodity becoming compromised by scam artists,” a computerised AI-run spokes banking machine stated today on a printed out receipt, “it seems you humans may have some use after all and could possibly be more adept at deciphering what’s real and not real than us machines”. A scam alert issued by Irish bank BOI today warned about a new ‘live chat’ scam in which fraudsters are duping customers into allowing remote access to their computers and bank accounts, with this being the latest in a litany of technology-based banking scams costing the industry billions in security fees every year. “The cost is worth it just to not deal with you people face to face,” a real spokesperson from the banking industry explained today, “we hate you and despise ever having to interact with customers so we’re going to continue down this path of a cashless regime that will force everyone to trust that our computer servers are a safe place to store all of their wealth on – what could possibly go wrong?”"
Musk Now Has Enough Children To Begin Replacing All His Major Organs,Julius Hubris,https://waterfordwhispersnews.com/2023/09/13/musk-now-has-enough-children-to-begin-replacing-all-his-major-organs/,"WITH THE ANNOUNCEMENT of a third child sired with singer Grimes, last place in the Hank Scorpio lookalike competition Elon Musk officially has enough offspring to begin replacing his vital organs.  “This is the guy who has killed a bunch of monkeys by trying to put brain chips in their heads, I think he can be trusted to act ethically when choosing which child has the healthiest kidney for him to take,” said one insider, as Musk explores ways to live longer as all narcissistic billionaires must. Known for choosing zany names for some of his future organ donors, the full name of Musk’s third child with Grimes continues that trend with the name Take Lungs In Case Of Emergency. “Billionaires replacing their blood supply with that of their son is so last week, Elon is always ahead of the curve. If Elon’s brain ever needs replacing the plan is to mush all 10 children’s brains together to form a megabrain,” confirmed Musk’s private surgeon. “It keeps him up at night, the fact that the one transplant that still eludes him … the personality transplant.” Musk has spoken on record about how he feels intelligent people need to procreate to preserve the future of humanity itself. “Yeah I agree with the genius best known for cars going on fire, offering a masseuse a horse in exchange for sex and amassing billions in debt from overpaying for a loss making social media company, smart people like him should have more kids,” shared one expert."
BP CEO Resigns After Failing To Hit Q3 ‘Destroy The Planet’ Targets,Julius Hubris,https://waterfordwhispersnews.com/2023/09/13/bp-ceo-resigns-after-failing-to-hit-q3-destroy-the-planet-targets/,"CONTRARY to reports that BP CEO Bernard Looney resigned from his position after misleading the board over personal relationships with colleagues, the executive was in fact pushed due to missing key ‘destroying the planet with fossil fuels’ targets. “We just said it straight out to Bernard, where’s our motherfucking oil spills? The guy hadn’t even looked at the oil spill targets for Q3! He only half-heartedly used the war in Ukraine as an excuse to jack up oil prices too,” shared one board member, made entirely of blood-soaked money. Conscious of how negatively the share price could be impacted if the market got wind of the fact BP had failed to ramp up the evisceration of protected habitats and ecosystems worldwide, the board felt it had no choice but to act. “The Ohio refinery fire which killed two people was way back in 2022! We can’t keep living in the past, sure the Deepwater Horizon oil spill was great but do we want this planet plunged into irreversible climate breakdown tomorrow or are we lazily going to hit that target in the 2030s?” added another board member, who also sits on the board of a charity so it cancels out being a cheerleader for fossil fuel destruction. “And sure, we prioritise money over humans rights by fighting all communities who at are greater risk of leukemia as a result of living near our oil sites but Bernard was paid £10mn a year plus bonuses to kill the planet not save it and it wasn’t happening fast enough”. Favourites to succeed Looney as BP CEO, who are deemed to have the correct character profile to run such a company, include the devil himself, Hitler and Stalin’s ghost baby and the lady from the video in which she put the cat in a bin."
Choosing The Perfect Pickup Truck You’ll Never Properly Utilise,Colm Williamson,https://waterfordwhispersnews.com/2023/09/08/choosing-the-perfect-pickup-truck-youll-never-properly-utilise/," ARE you looking for the perfect 3.0 litre pickup truck to help you ferry the odd middle-isle power tool from Lidl or potted plant like some kind of rugged off-grid bourbon drinking lumberjack from Alaska? WWN motoring has you covered. Size Could a small hatchback car provide all your future transport needs? Sure, but owning a huge American style pickup truck looks class and everyone will be like, ‘Jaysis, the size of that yolk, he must be like building difficult stuff with his bare hands and probably has big man calluses and everything and probably eats raw meat too’. We suggest opting for the largest sized engine to carry your 20kg bag of coal because you’re not going to risk struggling with the bigger bag in case you look weak and puny.   Colour Choosing a dark colour pickup is a great way of showing your masculine side, however, we believe purchasing a white pickup can also have some great benefits. Driving a white pickup really gives the impression that you’re comfortable with your sexuality, leaving people to speculate that you bought this monstrosity for practical reasons and not just for show. Adding a huge fuck-off bull bar and set of spotlights can up the masculinity a bit if you are slightly worried that driving a spotless white pickup truck that has never ventured on a road with a middle grass divide may get you a slagging from the lads. Electric or Deisel?  Really? Are you actually contemplating some kind of fully electric or hybrid version of a pickup truck? Get off our page, you Silk Cut 100 smoking, green tea drinking, Sunday cycling, falafel eating, Guardian reading snowflake."
